sequence.start,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,verdict,FileName,sample,user,FullName,id,fuzzy_n,desorb.Start.diff,rowSum,nameBlank,Mixup,kBlank,Cluster
2018-08-20T08:33:56Z,2018-08-20T16:09:27Z,2018-08-20T16:19:30Z,2018-08-20T16:09:27Z,Desorbed NA,2,2,NA,2,NA,603,NA,AirBellNAug16_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/AirBellNAug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,1834,69893678,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-20T16:45:02Z,2018-08-20T16:55:09Z,2018-08-20T16:45:02Z,Desorbed NA,3,3,NA,3,NA,607,NA,BellNLeaf38Aug16_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNLeaf38Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2135,76209750,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-20T17:20:46Z,2018-08-20T17:30:52Z,2018-08-20T17:20:46Z,Desorbed NA,4,4,NA,4,NA,606,NA,BellNLeaf40Aug16_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNLeaf40Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2144,38232514,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-20T17:56:40Z,2018-08-20T18:06:44Z,2018-08-20T17:56:40Z,Desorbed NA,5,5,NA,5,NA,604,NA,BellNFlr40Aug16_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr40Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2154,83207532,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-20T18:32:47Z,2018-08-20T18:42:53Z,2018-08-20T18:32:47Z,Desorbed NA,6,6,NA,6,NA,606,NA,BellNFlr35Aug16_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr35Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2167,109308775,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-20T19:09:16Z,2018-08-20T19:19:19Z,2018-08-20T19:09:16Z,Desorbed NA,7,7,NA,7,NA,603,NA,BellNFlr30Aug16_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr30Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2189,120118764,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-20T19:46:03Z,2018-08-20T19:56:07Z,2018-08-20T19:46:03Z,Desorbed NA,8,8,NA,8,NA,604,NA,BellNFlr38Aug16_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr38Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2207,91163699,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-20T20:23:09Z,2018-08-20T20:33:12Z,2018-08-20T20:23:09Z,Desorbed NA,9,9,NA,9,NA,603,NA,BellNFlr31Aug16_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr31Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2226,43371296,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-20T21:00:33Z,2018-08-20T21:10:26Z,2018-08-20T21:00:33Z,Desorbed NA,10,10,NA,10,NA,593,NA,BellNFlr34Aug16_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr34Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2244,62908427,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-20T21:38:04Z,2018-08-20T21:47:05Z,2018-08-20T21:38:04Z,Desorbed NA,11,11,NA,11,NA,541,NA,BellNFlr33Aug16_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr33Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2251,71407237,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-20T22:14:07Z,2018-08-20T22:24:10Z,2018-08-20T22:14:07Z,Desorbed NA,12,12,NA,12,NA,603,NA,BellNFlr42Aug16_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr42Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2163,60811245,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-20T22:51:25Z,2018-08-20T23:01:27Z,2018-08-20T22:51:25Z,Desorbed NA,13,13,NA,13,NA,602,NA,BellNFlr39Aug16_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr39Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2238,71181434,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-20T23:28:59Z,2018-08-20T23:39:02Z,2018-08-20T23:28:59Z,Desorbed NA,14,14,NA,14,NA,603,NA,BellNFlr32Aug16_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr32Aug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2254,134085336,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-21T00:06:36Z,2018-08-21T00:16:41Z,2018-08-21T00:06:36Z,Desorbed NA,15,15,NA,15,NA,605,NA,BellNBeetleAug16_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNBeetleAug16_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2257,67065877,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-21T00:44:10Z,2018-08-21T00:54:11Z,2018-08-21T00:44:10Z,Desorbed NA,16,16,NA,16,NA,601,NA,AirBellNAug18_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/AirBellNAug18_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2254,53428368,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-21T01:21:34Z,2018-08-21T01:31:41Z,2018-08-21T01:21:34Z,Desorbed NA,17,17,NA,17,NA,607,NA,BellNFlr29Aug18_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr29Aug18_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2244,74297839,FALSE,TRUE,TRUE,2
2018-08-20T08:33:56Z,2018-08-21T01:58:55Z,2018-08-21T02:08:58Z,2018-08-21T01:58:55Z,Desorbed NA,18,18,NA,18,NA,603,NA,BellNFlr27Aug18_08202018.qgd,NA,NA,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Lupinus argenteus/BellNFlr27Aug18_08202018.qgd,d411aaf6-db84-426d-a90c-107814d8bc4a,1,2241,70567854,FALSE,TRUE,TRUE,2
