Filename	pent-1-en-3-ol	pentan-3-one	pentan-1-ol	cyclopentanone	(Z)-hex-3-en-1-ol	hexyl formate	anisole	(E)-4-oxohex-2-enal	b-myrcene	phenylmethanol	(Z)-b-ocimene	(E)-b-ocimene	3-ethenyl-1,2-dimethylcyclohexa-1,4-diene	2-methoxyethylbenzene	2-phenylethanol	allo-ocimene	cosmene	2,6-dimethylocta-3,5,7-trien-2-ol	2,3-dihydro-1-benzofuran	indole	ylangene	b-elemene	germacrene B	a-guaiene	guaia-6,9-diene	g-selinene	a-gurjunene	a-panasinsene	(3E)-hex-3-en-1-yl acetate	3,4-dimethylocta-2,4,6-triene	carveol	cyclopentanol	3-methylbut-2-en-1-ol	2-methyl-6-methylideneocta-1,7-dien-3-one
BellNFlr31Aug16_08202018.qgd	14177	88274	0	0	0	0	1363	0	22716	0	22121	102432	0	0	0	13367	1776	0	187	0	1175	0	0	2428	2117	0	0	0	0	0	0	88274	0	0
BellNFlr32Aug16_08202018.qgd	1927	47278	0	45678	1989079	195396	43111	3051602	194294	0	263088	69628	0	2664	9575	8098	0	0	0	0	9907	1178	0	9546	9546	0	0	3634	0	761	0	388548	0	14530
BellNFlr33Aug16_08202018.qgd	2247	607991	13017	0	274506	100696	17100	0	118265	0	168076	127499	0	1532	2593	192	6691	0	0	0	8164	0	0	4332	4332	0	0	0	0	0	0	607991	0	4024
BellNFlr34Aug16_08202018.qgd	19836	12275	0	0	0	0	10975	3081	95175	0	135784	0	0	4976	0	4184	1131	0	0	0	5022	0	1324	3781	3781	0	0	2108	0	0	0	12275	0	2946
BellNFlr35Aug16_08202018.qgd	39206	198394	4490	32985	286846	323497	4825	19709	1177146	0	782714	5093894	0	23756	151065	37166	23896	0	223	0	35864	2483	37606	49394	49394	0	0	24660	0	1029	0	198394	0	9610
BellNFlr38Aug16_08202018.qgd	18751	186653	4616	45629	51801	105366	34907	3839	581730	0	609515	78578	0	0	15593	32063	5763	0	139	0	10564	0	0	13133	13133	0	0	7944	0	0	0	186653	0	10469
BellNFlr39Aug16_08202018.qgd	46034	485725	4228	42630	32534	113320	56111	28567	224381	0	350684	184937	0	3701	0	71648	0	0	0	0	2208	2564	4853	3330	3330	0	0	6360	0	0	0	503597	1089	0
BellNFlr40Aug16_08202018.qgd	17616	265229	25824	84841	24636	140014	223252	0	459215	0	591550	0	0	279188	26783	3315	0	0	0	0	8762	0	4624	9640	9640	0	0	4427	0	437	0	265229	0	16849
BellNFlr42Aug16_08202018.qgd	14406	152407	30000	38825	0	43549	13714	0	240722	0	214113	168402	0	14505	0	4486	5048	0	0	0	3970	3649	4907	6248	6248	0	0	4082	0	0	0	152407	0	0
BellNFlr44Aug18_08202018.qgd	10919	0	0	0	0	190000	35067	6659	333859	0	509138	0	0	283983	20211	2339	0	0	0	0	3587	0	0	3353	3353	0	0	3046	0	1043	0	0	0	5650
