index	FileName	fn1	fn2	fn3	fn4	fn5	fn6	fn7	fn8	sample	rowSum	Cluster	redos	type	pop	sample_year	plant	scented	rundate	GCn	renamed
	mar6_08282019.qgd	Mar6	8282019	qgd							226559190	2		floral	mar	19	6	0	8282019		
	mar7_08282019.qgd	Mar7	8282019	qgd							253899006	1		floral	mar	19	7	0	8282019		
	mar8_08282019.qgd	Mar8	8282019	qgd							218040372	2		floral	mar	19	8	0	8282019		
	mar9_08282019.qgd	Mar9	8282019	qgd							221090741	2		floral	mar	19	9	0	8282019		
	mar10_08282019.qgd	Mar10	8282019	qgd							286761410	1		floral	mar	19	10	0	8282019		
	4011_08282019.qgd	4011	8282019	qgd							273906487	1		floral	401	19	1	0	8282019		
	4012_08282019.qgd	4012	8282019	qgd							252825341	1		floral	401	19	2	0	8282019		
	4013_08282019.qgd	4013	8282019	qgd							275938563	1		floral	401	19	3	0	8282019		
	4014_08282019.qgd	4014	8282019	qgd							279498344	1		floral	401	19	4	1	8282019		
	4015_08282019.qgd	4015	8282019	qgd							280436413	1		floral	401	19	5	0	8282019		
	4016_08282019.qgd	4016	8282019	qgd							261172480	1		floral	401	19	6	1	8282019		
	Blank_08292019am.qgd	Blank	08292019am	qgd							228359884	2		blank		19			8292019		
	4017_08292019am.qgd	4017	08292019am	qgd							242269649	2		floral	401	19	7	1	8292019		
	401air1_08292019am.qgd	401air1	08292019am	qgd							251130576	2		ambient	401	19	1		8292019		
	401air2_08292019am.qgd	401air2	08292019am	qgd							262272796	2		ambient	401	19	2		8292019		
	beetles_lerb_08292019am.qgd	beetles	lerb	08292019am	qgd						285128316	2		other	lerb	19			8292019		
	thrips_elk_08292019am.qgd	thrips	elk	08292019am	qgd						321798588	2		other	elk	19			8292019		
	elkair1_08292019am.qgd	elkair1	08292019am	qgd							260547842	2		ambient	elk	19	1		8292019		
	elk1_08292019am.qgd	elk1	08292019am	qgd							344627752	1		floral	elk	19	1	1	8292019		
	elk2_08292019am.qgd	elk2	08292019am	qgd							364614092	1		floral	elk	19	2	1	8292019		
	elk3_08292019am.qgd	elk3	08292019am	qgd							360728168	1		floral	elk	19	3	1	8292019		
	elk4_08292019am.qgd	elk4	08292019am	qgd							280936885	1		floral	elk	19	4	1	8292019		
	elk5_08292019am.qgd	elk5	08292019am	qgd							312660729	1		floral	elk	19	5	1	8292019		
	elk6_08292019am.qgd	elk6	08292019am	qgd							351267026	1		floral	elk	19	6	1	8292019		
	elk7_08292019am.qgd	elk7	08292019am	qgd							339728958	1		floral	elk	19	7	1	8292019		
	elk8_08292019am.qgd	elk8	08292019am	qgd							294985747	1		floral	elk	19	8	1	8292019		
